# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
278.0	1.638960258442E12	radial	251.1886431509581	0.06309573444801932	0.5643125174046226
259.0	1.638960258684E12	dot	251.1886431509581	0.001	0.6591757170704539
258.0	1.638960259448E12	dot	251.1886431509581	0.06309573444801932	0.6893713450292399
271.0	1.638960259725E12	polynomial	15.848931924611136	0.25118864315095807	0.7583716235032025
280.0	1.638960260059E12	radial	251.1886431509581	0.001	0.5413784461152882
267.0	1.638960260992E12	dot	63.095734448019314	0.0039810717055349725	0.7087197159565581
284.0	1.638960262495E12	radial	63.095734448019314	0.0039810717055349725	0.7027662907268171
281.0	1.638960262533E12	radial	251.1886431509581	0.06309573444801932	0.7212949039264829
268.0	1.638960270796E12	dot	63.095734448019314	0.25118864315095807	0.7425389863547759
287.0	1.638960272077E12	radial	63.095734448019314	0.25118864315095807	0.7492714424951268
270.0	1.638960280733E12	dot	63.095734448019314	0.06309573444801932	0.7363178780284043
289.0	1.638960282639E12	radial	63.095734448019314	0.06309573444801932	0.6026998050682261
272.0	1.638960283983E12	dot	63.095734448019314	0.001	0.7316576162628796
275.0	1.638960288545E12	polynomial	63.095734448019314	0.06309573444801932	0.7610491506544139
291.0	1.638960289858E12	radial	63.095734448019314	0.001	0.6536514898357004
273.0	1.638960302514E12	polynomial	1000.0	0.06309573444801932	0.709857978279031
282.0	1.638960307574E12	dot	63.095734448019314	0.25118864315095807	0.6913680033416875
285.0	1.638960308486E12	polynomial	63.095734448019314	0.0039810717055349725	0.7441694514062936
295.0	1.638960309101E12	radial	63.095734448019314	0.25118864315095807	0.7232490949596214
277.0	1.638960314401E12	polynomial	1000.0	0.25118864315095807	0.6631223893066
288.0	1.638960319007E12	polynomial	63.095734448019314	0.25118864315095807	0.7404553049289893
294.0	1.638960319882E12	dot	1.0	0.06309573444801932	0.6814160401002507
300.0	1.638960321242E12	radial	1.0	0.06309573444801932	0.7105750487329434
283.0	1.638960323179E12	polynomial	251.1886431509581	0.001	0.6564738234475077
279.0	1.638960323304E12	polynomial	251.1886431509581	0.06309573444801932	0.6555465051517684
298.0	1.638960324351E12	dot	1.0	0.25118864315095807	0.7537099693678642
304.0	1.638960325538E12	radial	1.0	0.25118864315095807	0.7772528543581175
286.0	1.638960325788E12	polynomial	251.1886431509581	0.06309573444801932	0.734602478418268
290.0	1.638960329179E12	polynomial	63.095734448019314	0.06309573444801932	0.6508827624617098
301.0	1.638960332163E12	polynomial	1.0	0.06309573444801932	0.7283402951824006
305.0	1.638960333242E12	polynomial	1.0	0.25118864315095807	0.7521331105541632
293.0	1.638960336538E12	polynomial	63.095734448019314	0.001	0.7391819827346144
307.0	1.638960349371E12	dot	3.9810717055349727	0.0039810717055349725	0.7191624895572265
311.0	1.638960350603E12	radial	3.9810717055349727	0.0039810717055349725	0.687536201615149
292.0	1.638960350728E12	dot	251.1886431509581	0.06309573444801932	0.5513652186020608
308.0	1.638960351509E12	dot	3.9810717055349727	0.06309573444801932	0.6273732943469785
313.0	1.638960351806E12	radial	251.1886431509581	0.06309573444801932	0.6934405458089669
309.0	1.638960352697E12	dot	3.9810717055349727	0.25118864315095807	0.7537886382623226
316.0	1.638960354181E12	radial	3.9810717055349727	0.25118864315095807	0.7286869952659427
297.0	1.63896035454E12	polynomial	63.095734448019314	0.25118864315095807	0.7098893065998328
312.0	1.638960368164E12	polynomial	3.9810717055349727	0.0039810717055349725	0.7731606794764689
296.0	1.638960371628E12	dot	251.1886431509581	0.0039810717055349725	0.7543184349763299
320.0	1.638960373018E12	radial	251.1886431509581	0.0039810717055349725	0.6718358395989975
317.0	1.638960374534E12	polynomial	3.9810717055349727	0.25118864315095807	0.7086988304093568
299.0	1.638960381868E12	dot	251.1886431509581	0.25118864315095807	0.5805089111668059
323.0	1.63896038318E12	radial	251.1886431509581	0.25118864315095807	0.7044594124199388
302.0	1.638960385463E12	dot	1000.0	0.001	0.6717550821498192
303.0	1.638960386385E12	dot	1000.0	0.06309573444801932	0.7183576998050683
325.0	1.638960386807E12	radial	1000.0	0.001	0.5479323308270676
326.0	1.638960387604E12	radial	1000.0	0.06309573444801932	0.5475344611528822
306.0	1.638960387854E12	dot	1000.0	0.06309573444801932	0.6205277081592872
329.0	1.638960389416E12	radial	1000.0	0.06309573444801932	0.691644388749652
319.0	1.638960393854E12	dot	15.848931924611136	0.0039810717055349725	0.6778634085213032
331.0	1.638960395135E12	radial	15.848931924611136	0.0039810717055349725	0.7689292676134784
314.0	1.638960398541E12	dot	63.095734448019314	1.0	0.6904218880534672
322.0	1.638960398869E12	dot	15.848931924611136	0.25118864315095807	0.7500626566416042
310.0	1.638960399322E12	dot	251.1886431509581	0.001	0.7181397939292677
334.0	1.638960399994E12	radial	15.848931924611136	0.25118864315095807	0.7655277081592871
335.0	1.638960401137E12	radial	251.1886431509581	0.001	0.6719695071010862
333.0	1.638960401825E12	radial	63.095734448019314	1.0	0.6757254246727932
330.0	1.638960405044E12	dot	1.0	0.0039810717055349725	0.7527708159287106
339.0	1.638960406106E12	radial	1.0	0.0039810717055349725	0.816480785296575
315.0	1.63896041447E12	polynomial	251.1886431509581	0.06309573444801932	0.6700348092453356
318.0	1.638960416845E12	dot	251.1886431509581	0.25118864315095807	0.6800208855472014
342.0	1.638960418205E12	radial	3.9810717055349727	0.25118864315095807	0.549718045112782
340.0	1.63896041908E12	polynomial	1.0	0.0039810717055349725	0.7594033695349486
332.0	1.638960419173E12	polynomial	15.848931924611136	0.0039810717055349725	0.7508771929824561
336.0	1.638960425362E12	polynomial	15.848931924611136	0.25118864315095807	0.7423621553884713
343.0	1.638960433417E12	polynomial	3.9810717055349727	0.25118864315095807	0.7612649679754944
321.0	1.6389604363E12	polynomial	251.1886431509581	0.0039810717055349725	0.6068414090782511
