# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
363.0	13016.0	31.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	shotgun	true
364.0	14419.0	1.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
367.0	12408.0	80.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
366.0	16785.0	100.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
365.0	18756.0	100.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
369.0	13920.0	90.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
370.0	12849.0	31.0	DART	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
371.0	11723.0	90.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
372.0	14034.0	70.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
368.0	20281.0	31.0	linear booster	uniform	tree	0.0	6.0	thrifty	15.0	coord_descent	true
373.0	12651.0	31.0	DART	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
